ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
KO,2015-02-25,2011Q4,2011-12-31
KO,2015-04-30,2014Q1,2014-03-28
KO,2015-07-29,2014Q2,2014-06-27
KO,2015-10-28,2014Q3,2014-09-26
KO,2016-04-28,2015Q2,2015-04-03
KO,2016-07-28,2015Q3,2015-07-03
KO,2016-10-27,2012Q4,2012-12-31
KO,2017-02-24,2013Q4,2013-12-31
KO,2017-04-27,2016Q2,2016-04-01
KO,2017-10-26,2016Q3,2016-09-30
KO,2018-02-23,2014Q4,2014-12-31
KO,2018-05-01,2017Q1,2017-03-31
KO,2018-10-30,2017Q2,2017-06-30
KO,2018-10-30,2017Q3,2017-09-29
KO,2019-07-25,2018Q1,2018-03-30
KO,2019-09-20,2015Q4,2015-12-31
KO,2019-10-24,2018Q2,2018-06-29
KO,2019-10-24,2018Q3,2018-09-28
KO,2020-02-24,2016Q4,2016-12-31
KO,2020-07-22,2019Q1,2019-03-29
KO,2020-10-22,2019Q2,2019-06-28
KO,2020-10-22,2019Q3,2019-09-27
KO,2021-02-25,2017Q4,2017-12-31
KO,2021-07-26,2020Q1,2020-03-27
KO,2021-10-28,2020Q2,2020-06-26
KO,2021-10-28,2020Q3,2020-09-25
KO,2022-02-22,2018Q4,2018-12-31
KO,2022-07-27,2021Q2,2021-04-02
KO,2022-10-26,2021Q3,2021-07-02
KO,2023-02-21,2019Q4,2019-12-31
KO,2023-07-27,2022Q2,2022-04-01
KO,2023-10-24,2022Q3,2022-09-30
LIN,2020-07-31,2019Q1,2019-03-31
LIN,2020-11-05,2019Q2,2019-06-30
LIN,2020-11-05,2019Q3,2019-09-30
LIN,2021-03-01,2017Q4,2017-12-31
LIN,2021-07-30,2020Q1,2020-03-31
LIN,2021-10-29,2020Q2,2020-06-30
LIN,2021-10-29,2020Q3,2020-09-30
LIN,2022-02-28,2018Q4,2018-12-31
LIN,2022-07-28,2021Q1,2021-03-31
LIN,2022-10-27,2021Q2,2021-06-30
LIN,2022-10-27,2021Q3,2021-09-30
LIN,2023-02-28,2019Q4,2019-12-31
LIN,2023-07-27,2022Q1,2022-03-31
LIN,2023-10-26,2022Q2,2022-06-30
LIN,2023-10-26,2022Q3,2022-09-30
META,2014-04-25,2013Q1,2013-03-31
META,2014-07-24,2013Q2,2013-06-30
META,2014-10-30,2013Q3,2013-09-30
META,2015-01-29,2011Q4,2011-12-31
META,2016-01-28,2012Q4,2012-12-31
META,2017-02-03,2013Q4,2013-12-31
META,2023-10-26,2022Q3,2022-09-30
